Strata_ID_Number,D_Wh_Cancer,D_Bl_Cancer,D_Hi_Cancer,No_Exercise,Few_Fruit_Veg,Obesity,Smoker,Uninsured,Prim_Care_Phys_Rate,Community_Health_Center_Ind
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,553,94,2
59,-1111,-1111,-1111,29.2,78.4,27,23.8,1913,46.9,2
62,17,-1111,-1111,31.9,-1111.1,29.6,21.7,842,25.6,1
19,17,-1111,-1111,19.3,79.6,17,19.2,11344,74.8,2
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,13.1,537,30.4,2
87,22,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,625,0,2
28,16,-1111,-1111,21.3,81.2,17.2,20.1,2618,48.6,2
58,12,-1111,-1111,22.5,-1111.1,21.7,12.2,632,31.5,2
29,-1111,18,-1111,36.3,84,23.1,20.8,7819,41,1
29,-1111,18,-1111,27.9,83,24.9,18.2,5719,74.1,1
40,12,-1111,-1111,28.4,82.1,27.2,23.5,2798,30.5,2
33,12,14,-1111,17.6,80.8,16.7,24.8,4807,52.9,1
79,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,464,181,2
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,384,73.5,2
39,12,-1111,-1111,-1111.1,-1111.1,27.3,26.9,1368,39.8,1
78,-1111,-1111,-1111,24.5,-1111.1,-1111.1,18.6,899,34.1,2
79,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,242,74.1,2
61,13,-1111,-1111,36.2,82.4,30.8,20.1,1085,27.3,2
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,485,0,2
58,12,-1111,-1111,-1111.1,-1111.1,24.9,21.7,731,49.3,2
27,-2222,-2222,-2222,25,82.4,24.7,12.8,3453,103.4,2
38,15,-1111,-1111,-1111.1,-1111.1,-1111.1,15.7,786,47.3,2
79,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,271,47.4,2
40,12,-1111,-1111,31,82.3,26.9,26.4,1373,51.7,2
38,15,-1111,-1111,26.3,83.5,25.1,22.6,1599,31.4,2
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,12.6,567,29.8,2
10,25,-1111,23,16.7,79.4,17.4,16.6,34718,128.5,2
80,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,810,44.3,2
40,12,-1111,-1111,26.9,86.8,30.9,18.6,937,0,2
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,10.4,412,0,2
64,12,-1111,-1111,34.2,88.9,27.9,25.5,2903,72.2,2
79,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,285,52.8,2
45,15,-1111,-1111,21.5,78.8,20.8,21.6,6040,42.4,2
81,14,-1111,-1111,-1111.1,-1111.1,13.8,-1111.1,396,29.3,2
59,-1111,-1111,-1111,29.5,82.6,25.4,27.3,1192,20.2,2
82,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,360,0,2
29,-1111,18,-1111,27.2,79.4,24.4,19.6,5155,59,1
27,-2222,-2222,-2222,24.6,77.8,23.4,13.5,1828,67.7,2
54,20,-1111,-1111,25.7,75.6,20.8,18.2,1478,30.9,2
58,12,-1111,-1111,32.3,74.5,28.8,17,1152,38.4,2
79,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,14.5,703,43.2,2
47,14,-1111,-1111,25.2,76.1,27.3,21.6,2325,49.2,2
54,20,-1111,-1111,25.5,82.4,16.7,18.5,661,77.9,2
50,12,17,-1111,30.5,80.8,28,27.1,4615,52.1,2
58,12,-1111,-1111,28.8,-1111.1,20,17.9,736,49.6,2
80,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,551,62.6,2
56,28,-1111,-1111,31.4,79,21.9,11.4,986,38.3,2
63,-1111,-1111,-1111,32.7,81.9,24.7,19.2,2013,54.4,2
79,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,426,33.2,2
58,12,-1111,-1111,-1111.1,90.3,15.3,-1111.1,665,70.6,2
57,29,-1111,-1111,29.9,81.2,30.6,26.4,1672,23.3,1
81,14,-1111,-1111,-1111.1,-1111.1,17.6,19.2,506,0,2
54,20,-1111,-1111,40,-1111.1,24.6,14.5,617,81.7,2
54,20,-1111,-1111,29.7,-1111.1,26.8,18.2,781,59.4,1
58,12,-1111,-1111,24.4,-1111.1,-1111.1,19.4,728,90.8,2
56,28,-1111,-1111,22.9,73.2,19.5,19.3,1887,62.7,2
54,20,-1111,-1111,26,83.2,22.5,23.1,1140,73.7,2
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,333,112.3,2
21,14,26,-1111,25,79.6,25.2,22.7,7423,81.8,2
58,12,-1111,-1111,25.7,-1111.1,14.6,12.9,701,77.5,2
40,12,-1111,-1111,27.3,89.7,24.2,16.5,1361,28.7,2
22,10,-1111,-1111,14.3,77.9,14.7,16.1,7472,71.6,1
