Unique Visitors,Average Page Depth,Flight Searches,Fare Change Error,Revenue
579706,11,424675,453,11418161
530202,12,403692,305,7806047
695496,12,599002,316,13160947
648078,12,543979,226,11178183
720341,12,637060,248,13059427
876068,12,867619,492,22967451
829831,12,869309,587,24493457
640215,12,633898,359,18967558
655213,13,694166,288,15125428
817971,12,846928,390,21682609
761686,12,733134,394,15796327
878607,12,889315,385,19298612
1102658,11,1249884,672,35008436
1132629,12,1340024,925,38230616
1044999,12,1222791,1179,35616500
1067540,12,1149118,716,33326829
925885,12,983555,470,29692723
722531,12,767683,280,18183456
837047,12,900569,378,20849913
1117314,11,1217514,682,32362618
1256661,11,1325489,1241,36464987
1125840,11,1209135,1102,33901024
1063165,11,1112097,826,31583360
919458,11,953305,774,28478746
684117,13,753676,454,17538001
816976,13,891246,566,20348370
1031116,12,1155620,703,29703485
1076622,11,1238844,1024,34963654
1066991,12,1201431,2079,33681886
1084894,11,1168823,926,40695278
921807,11,957441,1151,36847286
772487,13,809935,528,26143492
899081,12,958610,601,30769367
1155698,11,1193106,989,41665165
1117560,11,1224782,1589,48019072
1082856,11,1150895,1531,44811418
1055924,11,1084980,1556,41419204
941275,11,944165,1195,37878197
725561,13,750920,620,26315984
814634,12,806900,765,29988956
1231685,12,1230255,2008,34820229
1164657,11,1262761,1482,53419919
1127136,11,1193756,3427,48795442
1044708,11,1101988,1255,44877279
896584,11,945855,1896,39051470
701273,13,746102,558,27054071
883534,12,917817,842,33092860
1110807,11,1204266,1161,46502415
1079237,12,1119809,2125,45190775
1114811,11,1179747,1307,48293399
1037073,11,1044327,1067,41034590
895031,11,882243,1088,36553325
684735,13,687279,613,25053754
829612,12,838185,811,30384365
1094260,11,1085171,822,40820866
1144238,11,1181234,1099,47762591
1103445,11,1094950,1593,43449121
1139630,11,1058945,1104,41107020
1097922,11,1001676,1386,39798421
809785,12,790796,686,28703416
913847,12,906251,831,33279833
1164045,11,1103147,926,39801590
1195376,11,1238952,1271,49448722
1272674,11,1214070,1382,49040188
1164695,11,1092053,1165,43636584
987472,11,936149,1107,40276845
775378,13,781876,808,29945271
976240,12,971357,928,37533371
1303584,11,1237660,1137,49043164
1248920,11,1278922,1731,55693374
1260684,11,1238762,8083,52886734
1287054,12,1169512,1458,48984776
1035566,11,966417,1110,41053128
758456,12,738537,570,27164873
848544,12,835168,661,31305918
1191761,11,1186764,1063,45916616
1143264,11,1203968,1300,51061210
1105180,12,1134846,1577,49345635
1100682,11,1046266,1197,44230030
1076231,11,928144,1082,40000906
806574,12,717831,578,27414897
874792,12,828187,756,32423006
1112027,11,1104569,1022,45207774
1080984,11,1138998,1364,48895793
1082938,11,1094752,1859,46167172
1073288,11,1013894,1107,42326904
978783,11,890050,951,38813956
736366,12,676191,704,25474145
861765,12,834038,797,32149109
1108685,11,1108211,1003,44430780
1066045,11,1117804,1217,48078239
1052125,11,1053812,1229,44132891
1024147,11,939174,1137,40131707
912013,11,838146,1320,31747169
713263,12,637165,592,24581560
810273,12,746994,634,29037642
1071180,11,1036577,984,42844316
1042092,11,1059772,1345,48577851
1033632,11,997444,2070,45807342
979501,11,910869,1010,41464656
803088,11,737940,647,33239080
622679,11,569592,468,22686731
716046,12,651108,657,25474620
1084931,11,1070465,911,44340626
1081011,11,1116771,1389,50228876
1063067,11,1066006,2278,48047955
1115242,11,1029879,6903,45377874
974962,11,862975,1245,38201262
698808,12,624131,488,24208154
800867,12,727465,580,29152739
1092268,11,1075960,929,44668060
1101357,11,1112332,1210,49150441
1056446,11,1023115,1122,45373389
1207589,11,1026992,5430,42756039
1009710,11,855365,940,37327915
679870,12,597932,509,22845420
851775,12,771002,688,30752491
1144785,11,1099537,964,44559322
1104503,11,1117280,1191,48625014
1080845,11,1011112,1024,40384720
1041452,11,949011,971,41436053
905858,11,802534,762,36126458
683329,12,612195,545,24452314
790201,11,714941,690,28922487
1054491,11,1027086,915,43662775
1072905,11,1048442,1318,47187408
1077667,10,979826,1346,43483698
1030407,10,893665,913,39159473
865019,10,739697,871,34962789
597554,11,496709,476,19949842
725659,11,623460,634,26638890
1065145,11,1020555,1126,44872132
1052213,11,1041151,1198,48982220
1039214,11,978280,2108,45645970
1019097,10,901367,1256,41518672
883465,10,748051,1051,35860247
623687,11,518765,590,21897848
756831,11,629662,616,27037680
1107356,11,1035246,1002,45746126
